year,month,day,hour,min,wind dir,wind speed,temp,lat,lon,current dir,current speed
2010,1,15,10,29,120.0,13.4,,28.118,-93.67,,
2010,1,15,10,44,120.0,12.9,,28.118,-93.67,,
2010,1,15,10,59,110.0,10.3,,28.118,-93.67,,
2010,1,15,11,14,120.0,12.9,,28.118,-93.67,,
2010,1,15,11,29,130.0,12.4,,28.118,-93.67,,
2010,1,15,11,44,120.0,14.9,,28.118,-93.67,,
2010,1,15,11,59,120.0,15.4,,28.118,-93.67,,
2010,1,15,12,14,110.0,13.4,,28.118,-93.67,,
2010,1,15,12,29,110.0,14.9,,28.118,-93.67,,
2010,1,15,12,44,100.0,14.4,,28.118,-93.67,,
2010,1,15,12,59,100.0,13.4,,28.118,-93.67,,
2010,1,15,13,14,100.0,13.9,,28.118,-93.67,,
2010,1,15,13,29,90.0,14.4,,28.118,-93.67,,
2010,1,15,13,44,90.0,14.9,,28.118,-93.67,,
2010,1,15,13,59,90.0,14.9,,28.118,-93.67,,
2010,1,15,14,14,90.0,13.9,,28.118,-93.67,,
2010,1,15,14,29,90.0,17.0,,28.118,-93.67,,
2010,1,15,14,44,90.0,16.0,,28.118,-93.67,,
2010,1,15,14,59,90.0,14.9,,28.118,-93.67,,
2010,1,15,15,14,90.0,14.4,,28.118,-93.67,,
2010,1,15,15,29,90.0,15.4,,28.118,-93.67,,
2010,1,15,15,44,100.0,12.9,,28.118,-93.67,,
2010,1,15,15,59,90.0,10.3,,28.118,-93.67,,
2010,1,15,16,14,100.0,12.9,,28.118,-93.67,,
2010,1,15,16,29,100.0,13.9,,28.118,-93.67,,
2010,1,15,16,44,90.0,13.4,,28.118,-93.67,,
2010,1,15,16,59,90.0,12.9,,28.118,-93.67,,
2010,1,15,17,14,80.0,12.4,,28.118,-93.67,,
2010,1,15,17,29,80.0,13.4,,28.118,-93.67,,
2010,1,15,17,44,80.0,16.0,,28.118,-93.67,,
2010,1,15,17,59,90.0,21.1,,28.118,-93.67,,
2010,1,15,18,14,100.0,17.5,,28.118,-93.67,,
2010,1,15,18,29,100.0,18.0,,28.118,-93.67,,
2010,1,15,18,44,110.0,15.4,,28.118,-93.67,,
2010,1,15,18,59,110.0,14.9,,28.118,-93.67,,
2010,1,15,19,14,120.0,13.4,,28.118,-93.67,,
2010,1,15,19,29,130.0,13.4,,28.118,-93.67,,
2010,1,15,19,44,130.0,13.9,,28.118,-93.67,,
2010,1,15,19,59,130.0,12.9,,28.118,-93.67,,
2010,1,15,20,14,130.0,9.8,,28.118,-93.67,,
2010,1,15,20,29,130.0,12.9,,28.118,-93.67,,
2010,1,15,20,44,130.0,11.8,,28.118,-93.67,,
2010,1,15,20,59,130.0,10.3,,28.118,-93.67,,
2010,1,15,21,14,130.0,10.8,,28.118,-93.67,,
2010,1,15,21,29,120.0,10.8,,28.118,-93.67,,
2010,1,15,21,44,130.0,11.3,,28.118,-93.67,,
2010,1,15,21,59,120.0,11.3,,28.118,-93.67,,
2010,1,15,22,14,130.0,9.3,,28.118,-93.67,,
2010,1,15,22,29,120.0,9.8,,28.118,-93.67,,
2010,1,15,22,44,120.0,9.3,,28.118,-93.67,,
2010,1,15,22,59,130.0,8.8,,28.118,-93.67,,
2010,1,15,23,14,130.0,8.2,,28.118,-93.67,,
2010,1,15,23,29,130.0,8.8,,28.118,-93.67,,
