year,month,day,hour,min,current dir,current speed,lat,lon,wind dir,wind speed
2010,3,9,14,30,270.0,0.253,27.939,96.843,,
2010,3,9,15,0,246.0,0.228,27.939,96.843,,
2010,3,9,15,30,254.0,0.2339999999999999,27.939,96.843,,
2010,3,9,16,0,260.0,0.21,27.939,96.843,,
2010,3,9,16,30,242.0,0.225,27.939,96.843,,
2010,3,9,17,0,243.0,0.201,27.939,96.843,,
2010,3,9,17,30,247.0,0.216,27.939,96.843,,
2010,3,9,18,0,239.0,0.182,27.939,96.843,,
2010,3,9,18,30,254.0,0.265,27.939,96.843,,
2010,3,9,19,0,252.0,0.284,27.939,96.843,,
2010,3,9,19,30,249.0,0.245,27.939,96.843,,
2010,3,9,20,0,251.0,0.221,27.939,96.843,,
2010,3,9,20,30,240.0,0.217,27.939,96.843,,
2010,3,9,21,0,239.0,0.255,27.939,96.843,,
2010,3,9,21,30,235.0,0.196,27.939,96.843,,
2010,3,9,22,0,227.0,0.166,27.939,96.843,,
2010,3,9,22,30,217.0,0.181,27.939,96.843,,
2010,3,9,23,0,195.0,0.122,27.939,96.843,,
2010,3,9,23,30,207.0,0.242,27.939,96.843,,
2010,3,10,0,0,204.0,0.227,27.939,96.843,,
2010,3,10,0,30,204.0,0.22,27.939,96.843,,
2010,3,10,1,0,199.0,0.253,27.939,96.843,,
2010,3,10,1,30,196.0,0.262,27.939,96.843,,
2010,3,10,2,0,204.0,0.251,27.939,96.843,,
2010,3,10,2,30,206.0,0.2,27.939,96.843,,
2010,3,10,3,0,211.0,0.17,27.939,96.843,,
2010,3,10,16,0,51.0,0.08,27.939,96.843,,
2010,3,10,16,30,59.0,0.09,27.939,96.843,,
2010,3,10,17,0,27.0,0.09,27.939,96.843,,
2010,3,10,17,30,51.0,0.08,27.939,96.843,,
2010,3,10,18,0,35.0,0.07,27.939,96.843,,
2010,3,10,18,30,90.0,0.04,27.939,96.843,,
2010,3,10,19,0,117.0,0.04,27.939,96.843,,
2010,3,10,19,30,45.0,0.01,27.939,96.843,,
2010,3,10,20,0,56.0,0.03,27.939,96.843,,
2010,3,10,20,30,45.0,0.01,27.939,96.843,,
2010,3,10,21,0,297.0,0.02,27.939,96.843,,
2010,3,10,21,30,27.0,0.07,27.939,96.843,,
2010,3,10,22,0,17.0,0.07,27.939,96.843,,
2010,3,10,22,30,27.0,0.07,27.939,96.843,,
2010,3,10,23,0,15.0,0.08,27.939,96.843,,
2010,3,10,23,30,24.0,0.08,27.939,96.843,,
2010,3,11,0,0,19.0,0.06,27.939,96.843,,
2010,3,11,0,30,41.0,0.057,27.939,96.843,,
2010,3,11,1,0,18.0,0.08,27.939,96.843,,
2010,3,11,1,30,29.0,0.083,27.939,96.843,,
2010,3,11,2,0,11.0,0.089,27.939,96.843,,
2010,3,11,2,30,12.0,0.093,27.939,96.843,,
2010,3,11,3,0,0.0,0.079,27.939,96.843,,
2010,3,11,3,30,13.0,0.106,27.939,96.843,,
2010,3,11,4,0,19.0,0.091,27.939,96.843,,
2010,3,11,4,30,359.0,0.071,27.939,96.843,,
2010,3,11,5,0,345.0,0.154,27.939,96.843,,
2010,3,11,5,30,347.0,0.132,27.939,96.843,,
2010,3,11,6,0,350.0,0.155,27.939,96.843,,
2010,3,11,6,30,354.0,0.151,27.939,96.843,,
2010,3,11,7,0,355.0,0.176,27.939,96.843,,
2010,3,11,7,30,358.0,0.193,27.939,96.843,,
2010,3,11,8,0,3.0,0.182,27.939,96.843,,
2010,3,11,8,30,10.0,0.197,27.939,96.843,,
2010,3,11,9,0,12.0,0.227,27.939,96.843,,
2010,3,11,9,30,12.0,0.225,27.939,96.843,,
2010,3,11,10,0,20.0,0.254,27.939,96.843,,
2010,3,11,10,30,22.0,0.253,27.939,96.843,,
2010,3,11,11,0,22.0,0.244,27.939,96.843,,
2010,3,11,11,30,33.0,0.24,27.939,96.843,,
2010,3,11,12,0,27.0,0.2289999999999999,27.939,96.843,,
2010,3,11,12,30,44.0,0.256,27.939,96.843,,
2010,3,11,13,0,51.0,0.254,27.939,96.843,,
2010,3,11,13,30,50.0,0.227,27.939,96.843,,
2010,3,11,14,0,55.0,0.245,27.939,96.843,,
2010,3,11,15,30,70.0,0.211,27.939,96.843,,
2010,3,11,16,0,67.0,0.215,27.939,96.843,,
2010,3,11,16,30,86.0,0.236,27.939,96.843,,
2010,3,11,17,0,83.0,0.203,27.939,96.843,,
2010,3,11,17,30,109.0,0.283,27.939,96.843,,
2010,3,11,18,0,118.0,0.313,27.939,96.843,,
2010,3,11,18,30,119.0,0.32,27.939,96.843,,
2010,3,11,19,0,125.0,0.291,27.939,96.843,,
2010,3,11,19,30,132.0,0.2739999999999999,27.939,96.843,,
2010,3,11,20,0,133.0,0.244,27.939,96.843,,
2010,3,11,20,30,147.0,0.214,27.939,96.843,,
2010,3,11,21,0,157.0,0.139,27.939,96.843,,
2010,3,11,21,30,166.0,0.162,27.939,96.843,,
2010,3,11,22,0,177.0,0.176,27.939,96.843,,
2010,3,11,23,30,206.0,0.127,27.939,96.843,,
2010,3,12,0,0,224.0,0.134,27.939,96.843,,
2010,3,12,0,30,221.0,0.119,27.939,96.843,,
2010,3,12,1,0,244.0,0.124,27.939,96.843,,
2010,3,12,1,30,230.0,0.108,27.939,96.843,,
2010,3,12,2,0,243.0,0.088,27.939,96.843,,
2010,3,12,2,30,266.0,0.08,27.939,96.843,,
2010,3,12,3,0,257.0,0.075,27.939,96.843,,
2010,3,12,3,30,284.0,0.085,27.939,96.843,,
2010,3,12,4,0,260.0,0.018,27.939,96.843,,
2010,3,12,4,30,242.0,0.071,27.939,96.843,,
2010,3,12,5,0,247.0,0.063,27.939,96.843,,
2010,3,12,5,30,240.0,0.0409999999999999,27.939,96.843,,
2010,3,12,6,0,286.0,0.066,27.939,96.843,,
2010,3,12,6,30,252.0,0.088,27.939,96.843,,
2010,3,12,7,0,223.0,0.061,27.939,96.843,,
2010,3,12,7,30,244.0,0.06,27.939,96.843,,
2010,3,12,8,0,216.0,0.045,27.939,96.843,,
2010,3,12,8,30,210.0,0.046,27.939,96.843,,
2010,3,12,9,0,181.0,0.119,27.939,96.843,,
2010,3,12,9,30,176.0,0.144,27.939,96.843,,
2010,3,12,10,0,178.0,0.185,27.939,96.843,,
2010,3,12,10,30,172.0,0.239,27.939,96.843,,
2010,3,12,11,0,174.0,0.262,27.939,96.843,,
2010,3,12,11,30,174.0,0.27,27.939,96.843,,
2010,3,12,12,0,178.0,0.272,27.939,96.843,,
2010,3,12,12,30,179.0,0.292,27.939,96.843,,
2010,3,12,13,0,179.0,0.27,27.939,96.843,,
2010,3,12,13,30,184.0,0.257,27.939,96.843,,
2010,3,12,14,0,191.0,0.261,27.939,96.843,,
2010,3,12,14,30,190.0,0.253,27.939,96.843,,
2010,3,12,15,0,195.0,0.302,27.939,96.843,,
2010,3,12,15,30,206.0,0.316,27.939,96.843,,
2010,3,12,16,0,204.0,0.315,27.939,96.843,,
2010,3,12,16,30,208.0,0.311,27.939,96.843,,
2010,3,12,17,0,213.0,0.296,27.939,96.843,,
2010,3,12,17,30,213.0,0.32,27.939,96.843,,
2010,3,12,18,0,219.0,0.31,27.939,96.843,,
2010,3,12,18,30,217.0,0.284,27.939,96.843,,
2010,3,12,19,0,225.0,0.285,27.939,96.843,,
2010,3,12,19,30,222.0,0.271,27.939,96.843,,
2010,3,12,20,0,226.0,0.281,27.939,96.843,,
2010,3,12,20,30,229.0,0.2739999999999999,27.939,96.843,,
