year,month,day,hour,min,current dir,current speed,wind dir,wind speed,lat,lon
2010,1,15,9,0,,,,,27.173,82.924
2010,1,15,9,20,,,,,27.173,82.924
2010,1,15,9,40,,,,,27.173,82.924
2010,1,15,10,0,,,,,27.173,82.924
2010,1,15,10,20,,,,,27.173,82.924
2010,1,15,10,40,,,,,27.173,82.924
2010,1,15,11,0,,,,,27.173,82.924
2010,1,15,11,20,,,,,27.173,82.924
2010,1,15,11,40,,,,,27.173,82.924
2010,1,15,12,0,,,,,27.173,82.924
2010,1,15,12,20,,,,,27.173,82.924
2010,1,15,12,40,,,,,27.173,82.924
2010,1,15,13,0,,,,,27.173,82.924
2010,1,15,13,20,,,,,27.173,82.924
2010,1,15,13,40,,,,,27.173,82.924
2010,1,15,14,0,,,,,27.173,82.924
2010,1,15,14,20,,,,,27.173,82.924
2010,1,15,14,40,,,,,27.173,82.924
2010,1,15,15,0,,,,,27.173,82.924
2010,1,15,15,20,,,,,27.173,82.924
2010,1,15,15,40,,,,,27.173,82.924
2010,1,15,16,0,,,,,27.173,82.924
2010,1,15,16,20,,,,,27.173,82.924
2010,1,15,16,40,,,,,27.173,82.924
2010,1,15,17,0,,,,,27.173,82.924
2010,1,15,17,20,,,,,27.173,82.924
2010,1,15,17,40,,,,,27.173,82.924
2010,1,15,18,0,,,,,27.173,82.924
2010,1,15,18,20,,,,,27.173,82.924
2010,1,15,18,40,,,,,27.173,82.924
2010,1,15,19,0,,,,,27.173,82.924
2010,1,15,19,20,,,,,27.173,82.924
2010,1,15,19,40,,,,,27.173,82.924
2010,1,15,20,0,,,,,27.173,82.924
2010,1,15,20,20,,,,,27.173,82.924
2010,1,15,20,40,,,,,27.173,82.924
2010,1,15,21,0,,,,,27.173,82.924
2010,1,15,21,20,,,,,27.173,82.924
2010,1,15,21,40,,,,,27.173,82.924
2010,1,15,22,0,,,,,27.173,82.924
2010,1,15,22,20,,,,,27.173,82.924
2010,1,15,22,40,,,,,27.173,82.924
2010,1,15,23,0,,,,,27.173,82.924
2010,1,15,23,20,,,,,27.173,82.924
2010,1,15,23,40,,,,,27.173,82.924
2010,1,16,0,0,,,,,27.173,82.924
2010,1,16,0,20,,,,,27.173,82.924
2010,1,16,0,40,,,,,27.173,82.924
2010,1,16,1,0,,,,,27.173,82.924
2010,1,16,1,20,,,,,27.173,82.924
2010,1,16,1,40,,,,,27.173,82.924
2010,1,16,2,0,,,,,27.173,82.924
2010,1,16,2,20,,,,,27.173,82.924
2010,1,16,2,40,,,,,27.173,82.924
2010,1,16,3,0,,,,,27.173,82.924
2010,1,16,3,20,,,,,27.173,82.924
2010,1,16,3,40,,,,,27.173,82.924
2010,1,16,4,0,,,,,27.173,82.924
2010,1,16,4,20,,,,,27.173,82.924
2010,1,16,4,40,,,,,27.173,82.924
2010,1,16,5,0,,,,,27.173,82.924
2010,1,16,5,20,,,,,27.173,82.924
2010,1,16,5,40,,,,,27.173,82.924
2010,1,16,6,0,,,,,27.173,82.924
2010,1,16,6,20,,,,,27.173,82.924
2010,1,16,6,40,,,,,27.173,82.924
2010,1,16,7,0,,,,,27.173,82.924
2010,1,16,7,20,,,,,27.173,82.924
2010,1,16,7,40,,,,,27.173,82.924
2010,1,16,8,0,,,,,27.173,82.924
2010,1,16,8,20,,,,,27.173,82.924
2010,1,16,8,40,,,,,27.173,82.924
2010,1,16,9,0,,,,,27.173,82.924
2010,1,16,9,20,,,,,27.173,82.924
2010,1,16,9,40,,,,,27.173,82.924
2010,1,16,10,0,,,,,27.173,82.924
2010,1,16,10,20,,,,,27.173,82.924
2010,1,16,10,40,,,,,27.173,82.924
2010,1,16,12,0,,,,,27.173,82.924
2010,1,16,12,20,,,,,27.173,82.924
2010,1,16,12,40,,,,,27.173,82.924
2010,1,16,13,0,,,,,27.173,82.924
2010,1,16,14,20,,,,,27.173,82.924
2010,1,16,14,40,,,,,27.173,82.924
2010,1,16,15,0,,,,,27.173,82.924
2010,1,16,15,20,,,,,27.173,82.924
2010,1,16,15,40,,,,,27.173,82.924
2010,1,16,16,0,,,,,27.173,82.924
2010,1,16,16,20,,,,,27.173,82.924
2010,1,16,16,40,,,,,27.173,82.924
2010,1,16,17,0,,,,,27.173,82.924
2010,1,16,17,20,,,,,27.173,82.924
2010,1,16,17,40,,,,,27.173,82.924
2010,1,16,18,0,,,,,27.173,82.924
2010,1,16,18,20,,,,,27.173,82.924
2010,1,16,18,40,,,,,27.173,82.924
2010,1,16,19,0,,,,,27.173,82.924
2010,1,16,19,20,,,,,27.173,82.924
2010,1,16,19,40,,,,,27.173,82.924
2010,1,16,20,0,,,,,27.173,82.924
2010,1,16,20,20,,,,,27.173,82.924
2010,1,16,20,40,,,,,27.173,82.924
2010,1,16,21,0,,,,,27.173,82.924
2010,1,16,21,20,,,,,27.173,82.924
2010,1,16,21,40,,,,,27.173,82.924
2010,1,16,22,0,,,,,27.173,82.924
2010,1,16,22,20,,,,,27.173,82.924
2010,1,16,22,40,,,,,27.173,82.924
2010,1,16,23,0,,,,,27.173,82.924
2010,1,16,23,20,,,,,27.173,82.924
2010,1,16,23,40,,,,,27.173,82.924
2010,1,17,0,0,,,,,27.173,82.924
2010,1,17,0,20,,,,,27.173,82.924
2010,1,17,0,40,,,,,27.173,82.924
2010,1,17,1,0,,,,,27.173,82.924
2010,1,17,1,20,,,,,27.173,82.924
2010,1,17,1,40,,,,,27.173,82.924
2010,1,17,2,0,,,,,27.173,82.924
2010,1,17,3,20,,,,,27.173,82.924
2010,1,17,3,40,,,,,27.173,82.924
2010,1,17,4,0,,,,,27.173,82.924
2010,1,17,4,20,,,,,27.173,82.924
2010,1,17,4,40,,,,,27.173,82.924
2010,1,17,5,0,,,,,27.173,82.924
2010,1,17,5,20,,,,,27.173,82.924
2010,1,17,5,40,,,,,27.173,82.924
2010,1,17,6,0,,,,,27.173,82.924
2010,1,17,6,20,,,,,27.173,82.924
2010,1,17,6,40,,,,,27.173,82.924
2010,1,17,7,0,,,,,27.173,82.924
2010,1,17,7,20,,,,,27.173,82.924
2010,1,17,7,40,,,,,27.173,82.924
2010,1,17,8,0,,,,,27.173,82.924
2010,1,17,8,20,,,,,27.173,82.924
2010,1,17,8,40,,,,,27.173,82.924
2010,1,17,9,0,,,,,27.173,82.924
2010,1,17,9,20,,,,,27.173,82.924
2010,1,17,9,40,,,,,27.173,82.924
2010,1,17,10,0,,,,,27.173,82.924
2010,1,17,10,20,,,,,27.173,82.924
2010,1,17,10,40,,,,,27.173,82.924
2010,1,17,11,0,,,,,27.173,82.924
2010,1,17,11,20,,,,,27.173,82.924
2010,1,17,11,40,,,,,27.173,82.924
2010,1,17,12,0,,,,,27.173,82.924
2010,1,17,12,20,,,,,27.173,82.924
2010,1,17,12,40,,,,,27.173,82.924
2010,1,17,13,0,,,,,27.173,82.924
2010,1,17,13,20,,,,,27.173,82.924
2010,1,17,13,40,,,,,27.173,82.924
2010,1,17,14,0,,,,,27.173,82.924
2010,1,17,14,20,,,,,27.173,82.924
2010,1,17,14,40,,,,,27.173,82.924
2010,1,17,15,0,,,,,27.173,82.924
2010,1,17,15,20,,,,,27.173,82.924
2010,1,17,15,40,,,,,27.173,82.924
2010,1,17,16,0,,,,,27.173,82.924
2010,1,17,16,20,,,,,27.173,82.924
2010,1,17,16,40,,,,,27.173,82.924
2010,1,17,17,0,,,,,27.173,82.924
2010,1,17,17,20,,,,,27.173,82.924
2010,1,17,17,40,,,,,27.173,82.924
2010,1,17,18,0,,,,,27.173,82.924
2010,1,17,18,20,,,,,27.173,82.924
2010,1,17,18,40,,,,,27.173,82.924
2010,1,17,19,0,,,,,27.173,82.924
2010,1,17,19,20,,,,,27.173,82.924
2010,1,17,19,40,,,,,27.173,82.924
2010,1,17,20,0,,,,,27.173,82.924
2010,1,17,20,20,,,,,27.173,82.924
2010,1,17,20,40,,,,,27.173,82.924
2010,1,17,21,0,,,,,27.173,82.924
2010,1,17,21,20,,,,,27.173,82.924
2010,1,17,21,40,,,,,27.173,82.924
2010,1,17,22,0,,,,,27.173,82.924
2010,1,17,22,20,,,,,27.173,82.924
2010,1,17,22,40,,,,,27.173,82.924
2010,1,17,23,0,,,,,27.173,82.924
2010,1,17,23,20,,,,,27.173,82.924
2010,1,17,23,40,,,,,27.173,82.924
2010,1,18,0,0,,,,,27.173,82.924
2010,1,18,0,20,,,,,27.173,82.924
2010,1,18,0,40,,,,,27.173,82.924
2010,1,18,1,0,,,,,27.173,82.924
2010,1,18,1,20,,,,,27.173,82.924
2010,1,18,1,40,,,,,27.173,82.924
2010,1,18,2,0,,,,,27.173,82.924
2010,1,18,2,20,,,,,27.173,82.924
2010,1,18,2,40,,,,,27.173,82.924
2010,1,18,3,0,,,,,27.173,82.924
2010,1,18,4,20,,,,,27.173,82.924
2010,1,18,4,40,,,,,27.173,82.924
2010,1,18,5,0,,,,,27.173,82.924
